feature_total,mbti_i_e,mbti_n_s,mbti_f_t,mbti_j_p
선의의 옹호자 예언자 유형  인내심이 많고 통찰력과 직관력이 뛰어나며 양심이 바르고 화합을 추구한다  창의력이 뛰어나며  강한 직관력으로 말없이 타인에게 영향력을 끼친다  독창성과 내적 독립심이 강하며  확고한 신념과 열정으로 자신의 영감을 구현시켜 나가는 정신적 지도자들이 많다  한 곳에 몰두하는 경향으로 목적 달성에 필요한 주변적인 조건들을 경시하기 쉽고  자기 안의 갈등이 많고 복잡하다  이들은 풍부한 내적인 생활을 소유하고 있다 ,1,0,0,0
영감력이 뛰어나고 깊은 통찰력이 있다 ,1,0,0,0
특유의 페르소나를 사용해 타인에게 잘 맞춰주는 대표적인 유형이며 언쟁과 싸움을 조정하고자 한다 ,1,0,0,0
평소에는 온화하지만 자신의 신념에 어긋나는 일이나 인내심의 한계를 넘을 경우엔 불같이 화를 낼 수 있다  거기다 한번 화가 나면 스스로를 제어하기 힘들기도 하다 ,1,0,0,0
사람'에 대한 관심이 많다 ,1,0,0,0
"의미 없다고 느끼는 일에 "" "" 가 따른다  또한 어떤 일에 의미부여하는 것을 좋아한다 ",1,0,0,0
겉으로 티 내지 않으나 완벽주의가 강하다 ,1,0,0,0
이상적이고 창조적이나 동시에 염세적이다 ,1,0,0,0
타인에게 도움을 주는 것에 기뻐하지만  상처를 크게 받을 경우 가장 냉정하게 인간관계를 정리한다  ,1,0,0,0
특유의 깊고 따뜻한 속마음과 순수함이 있다  다만 겉으로 쉽게 잘 드러내지 않을 뿐이다 ,1,0,0,0
거짓말을 날카롭게 간파한다  하지만 분위기상 모른 척하거나 눈감아 주는 게 대부분이다 ,1,0,0,0
생각이 많아 현실과 동떨어져 있으며  이에 적응하기 어렵다  이때문에 간단한 일을 실수할 때가 있다 ,1,0,0,0
상대의 감정을 잘 파악하지만 자신의 감정을 잘 드러내지 않는다 ,1,0,0,0
상대의 장점을 굉장히 잘 알아낸다  동시에 단점 또한 잘 알아낸다 ,1,0,0,0
같은 나이에 비해서 조숙해 보인다  어른스럽다는 말을 많이 듣는 편이다  때론 애늙은이 소리를 듣는 경우도 있다 ,1,0,0,0
깨지지 않는 차분한 아우라를 지닌 사람들이 많다  신비로운 분위기를 내는 대표적인 유형이다 ,1,0,0,0
문제의 본질을 생각한다  ,1,0,0,0
비유와 은유를 잘한다 ,1,0,0,0
본인이 하는 말을 남들이 잘 이해하지 못하는 경우가 있다 ,1,0,0,0
독립심이 강하고 자기주관이 뚜렷하기 때문에 구속 받거나 강요 당하는 것을 아주 싫어한다 ,1,0,0,0
타인의 시선에서 보았을 때  내향적이면서도 외향적이다  단  이러한 인상에 다가가 섣불리 친해지려하면  호불호가 분명한 성격 특성상 경계할 가능성이 높다 ,1,0,0,0
사람과의 교제 시작이 어렵고   대체로 집돌이/집순이들이 많다 ,1,0,0,0
필요 시 페르소나를 사용한다  다른 사람이나 자신에 대해 표면적 성격 속에 내면적 성격이 하나 더 있다고 느낀다 ,1,0,0,0
거짓말을 잘 못하지만 특유의 솔직하고 '모든 것을 말하지 않는' 화법 때문에 페르소나를 잘 쓴다고 말할 수 있다  일부러 상대방을 속이려는 의도는 아니다 ,1,0,0,0
호불호가 분명하며  ‘불호’라고 생각하는 일이나 사람에게 관심이 없다 ,1,0,0,0
이들의 가장 명확한 목표 중 하나는 다른 사람들을 돕는 것이다  그들이 발전하고  진보하며  자립할 수 있도록 돕는다  ,1,0,0,0
조용히 책 읽는 것을 좋아하는 경우가 많고  사색을 즐기는 편이다 ,1,0,0,0
자아성찰을 꽤 냉정하게 하여 타인에게보다 본인 스스로에게 더 엄격하다 ,1,0,0,0
주위의 사소한 변화도 금방 알아채고 눈치가 얍삽할 정도로 매우 빠른 편이다 ,1,0,0,0
내성적이고 조용하지만 외향 감정을 활용하여 어느 상황에나 자신을 카멜레온처럼 보호색을 입혀 적당히 적응한다  ,1,0,0,0
상처를 잘 받는다  ,1,0,0,0
차분하면서도 감성적이다 ,1,0,0,0
속마음을 잘 드러내지 않는다 ,1,0,0,0
사람에 대한 통찰력이 높다  ,1,0,0,0
복잡한 의미와 사람들과의 관계를 직관적으로 잘 이해한다 ,1,0,0,0
상대의 감정  성향을 파악하고  그 눈높이에 맞춘다  따라서 만나는 사람에 따라 모습을 달리 한다고 비춰질 수 있다  ,1,0,0,0
이상주의적이며 옳고 그른 것에 대해 높은 수준의 감각을 갖고 있다  ,1,0,0,0
옳다고 확신이 생긴 신념은 끝까지 밀고 나간다 ,1,0,0,0
자신이 세운 기준이나 가치관이 비판당하거나 비난받을 경우 공격적이며 고집스러운 면모를 보이기도 한다 ,1,0,0,0
사람이 가진 가치관과 내면을 중요시 여긴다 ,1,0,0,0
사회적 불의에 민감하며  예의  도덕을 굉장히 중요하게 생각한다 [10],1,0,0,0
현실에서도 이상을 꿈꾼다  거기다 혼자만의 시간을 필요로 하고  즐긴다 [11],1,0,0,0
호기심이 많고 늘 의문을 달고 산다 [12],1,0,0,0
남에게 민폐 끼치는 걸 몹시 싫어한다 ,1,0,0,0
자신이 갖고 있는 고유한 가치관이 웬만해선 흔들리지 않는다 ,1,0,0,0
공감력이 뛰어나고 반응에 민감하여 유리멘탈로 보일 수 있으나  남에게 휘둘리는 성향은 아니다 [13],1,0,0,0
청렴결백한 논리주의자  세상의 소금형  신중하고 조용하며 집중력이 강하고 매사에 철저하며 사리분별력이 뛰어나다  실제 사실에 대하여 정확하고 체계적으로 기억하며 일 처리에 있어서도 신중하며 책임감이 강하다  집중력이 강한 현실감각을 지녔으며 조직적이고 침착하다  보수적인 경향이 있으며  문제를 해결하는데 과거의 경험을 잘 적용하며  반복되는 일상적인 일에 대한 인내력이 강하다  자신과 타인의 감정과 기분을 배려하며  전체적이고 타협적 방안을 고려하는 노력이 때로 필요하다  정확성과 조직력을 발휘하는 분야의 일을 선호한다 ,1,1,1,0
오래된 조직을 좋아한다 ,1,1,1,0
부하 직원을 부모와 자녀 관계같이 돌보려고 한다 ,1,1,1,0
선입견이 강하다 ,1,1,1,0
친숙하지 않은 장소에 나서기를 주저한다 ,1,1,1,0
지나고 난 다음에 따지는 편이다 ,1,1,1,0
주어진 업무나 책임을 끝까지 완수한다 ,1,1,1,0
우리나라에서는 장남 같다  장녀 같다 라는 소리를 잘 듣는다  ,1,1,1,0
변화에 적응이 더디다 ,1,1,1,0
원리 원칙적이다 ,1,1,1,0
교통체증을 미리 계산해서 약속시간을 지킨다 ,1,1,1,0
이유없이 돌아다니지 않는다 ,1,1,1,0
대인관계 폭이 자꾸 좁아지고 대신 할 일이 늘어 난다 ,1,1,1,0
실수한 것을 참지 못하고 즉각 수정하기를 원한다 ,1,1,1,0
남들이 속을 모른다라고 말한다 ,1,1,1,0
틀에 박힌 규칙적인 일을 좋아한다 ,1,1,1,0
휴일에도 집에서 주로 지낸다 ,1,1,1,0
참고 참았다가 확 터뜨리는 편이다 ,1,1,1,0
논리적  합리적이지 않으면 인정하지 않는다 ,1,1,1,0
웃음이 적다 ,1,1,1,0
반대 성향을 지닌 사람과 처음에는 원만히 지내나 결국 멀어진다 ,1,1,1,0
잘못했다는 건 인정하면서도 미안하다  잘못했다라고 잘 못한다 ,1,1,1,0
정리정돈을 해 놓는 것이 우선이다 ,1,1,1,0
직설적인 표현을 많이 하는 편이다  (주로 가까운 사람들한테 ),1,1,1,0
한국에서 제일 많은 유형이다 ,1,1,1,0
거의 모든 종류의 공무원 사무직  회사원  회계관련 직종에서 최고의 실력을 발휘한다  정해진 일을 형식대로 치밀하게 처리하는 면에서는 이들을 따라올 자가 없다 ,1,1,1,0
현실성  대중성을 중시하므로 취미를 가져도 일반적인 것  아니면 전통적인 것을 많이 선호한다 ,1,1,1,0
통제적인 군대나 단체 생활에도 매우 잘 적응한다 ,1,1,1,0
휴대폰 연락처는 별명보다는 (소속과) 이름 석 자만 적는 것을 선호한다 ,1,1,1,0
여행을 떠날 때는 교통편과 숙박  관광지  식당  예산 등 일정을 사전에 철두철미하게 계획한다 ,1,1,1,0
갈등을 표면화 하기보다는 가급적 뒤에서 조용히 해결한다  ,1,1,1,0
겉보기에 차가워 보인다는 소리를 종종 듣는다  ,1,1,1,0
"용감한 수호자형  임금 뒤편의 권력형  게으른 완벽주의자형  배려왕 서포터형 조용하고 차분하며 친근하고 책임감이 강하다  또 온정적이며 침착하고 인내력이 강하다  조용하지만 본인이 나름대로 존경하거나 좋아하는 사람에 대한 충성심과 애정이 특히 많다  친구나 지인으로써도 가장 믿음직스러운 성격이다  I 유형이므로 내향형이지만  내향형 성격 중에서는 외향성이 가장 강하다   본인의 감정을 파악하는 덴 능숙하지만 감정을 표현하는 덴 서툴다  본인의 감정이나 노력  관심등을 표현해도 타인이 알아채지 못하는 경우가 많으며 이러한 상황을 알지 못하는 ISFJ는 타인과의 관계에서 상당한 걱정을 한다  일 처리에 있어서는 현실 감각을 가지고 실제적이고 조직적이며 완벽주의적으로 처리한다  완벽한 결과물을 도출하지 못할 경우 극심한 스트레스를 받으며 게으른 자신에게서도 극심한 괴리감을 느낀다  경험을 통해서 자신이 틀렸다고 인정할 때까지 어떠한 난관이 있어도 꾸준히 밀고 나가는 형이다  때로 의존적이고 독창성이 요구되며 타인에게 자신을 충분히 명확하게 표현하는 것이 필요할 때가 있다  이들이 일을 하고  세상일에 대처할 때 그들의 행동은 분별력이 있다 
",1,1,0,0
눈치가 상당히 빠르기 때문에 상대가 어떤 사람이냐에 따라 성향과 분위기를 파악하고 그에 맞는 가면을 쓸 수 있다 ,1,1,0,0
자기 의견을 끝까지 주장하지 못 하고 다수 의견에 따르게 된다 ,1,1,0,0
자기주장이 강한 데 비하여 표현이 적어 속병이 많다  (위장병  심장병 등) ,1,1,0,0
개인 시간을 빼앗거나 방해받는 걸 굉장히 싫어한다 ,1,1,0,0
감정  시간  돈 낭비를 싫어한다 ,1,1,0,0
싸우는 것을 굉장히 싫어하며  그런 상황이 온다면 상당한 스트레스를 받는다 ,1,1,0,0
나가는 것을 귀찮아하지만 막상 나가면 잘 논다 ,1,1,0,0
여러 사람 앞에서 말하기 힘들어한다 ,1,1,0,0
약속과 신뢰를 삶의 모토라고 여길 만큼 중요하게 생각한다 ,1,1,0,0
외적인 면이 이상형이더라도 성격이 더럽거나 인성이 문제가 있다면 바로 손절하게 된다 ,1,1,0,0
끈기 있고 성실하며  안정감이 있다 ,1,1,0,0
치밀성과 반복을 요하는 일을 끝까지 해나가는 인내력이 있다 ,1,1,0,0
보수적이며  안정적이고 평화로운 삶을 원하기 때문에 새로운 변화를 좋아하지 않는다 ,1,1,0,0
조직에 안정감을 주며  우직한 나무 같은 느낌이다 ,1,1,0,0
많은 것을 가슴에 묻어 두지만 남에게 의존하는 것 또한 좋아하기 때문에 기본적으로 사람들에게 기대고 싶어하나 남에게 민폐끼치는 것을 정말로 싫어하기 때문에 본인의 감정이나 생각 등 불필요한 말을 잘 하지 않는다 ,1,1,0,0
남에게 싫은 소리를 잘 못하며 싫은 소리를 들은 경우엔 티는 안 내지만 매우 속상해 한다 ,1,1,0,0
다수보다 소수로 구성된 단체 활동을 선호한다 ,1,1,0,0
여행 시 짐이 많다 ,1,1,0,0
어른들이 좋아하나 본인은 힘들다 ,1,1,0,0
자식에 대한 애정이 각별한 가정적인 부모가 되기도 한다  ,1,1,0,0
가까운 사람들에겐 자상하고 배려하려 하지만 그 밖의 사람들에겐 무관심을 넘어 가차없고 단호한 면모를 보이기도 한다 ,1,1,0,0
거짓말과 오만하고 겸손하지 않은 허세 가득한 모습을 정말 싫어한다 ,1,1,0,0
가치관이 뚜렷한 편이나 다수의 사람들이 반대하면 기꺼이 수정한다 ,1,1,0,0
타인의 의견을 귀담아 들어준다 ,1,1,0,0
말을 생각없이 툭툭 내뱉는 것  상대방을 배려하지 않은 공격적인 말투  예의없는 행동을 굉장히 싫어한다  ISFJ를 상대할 때 이 부분은 주의할 필요가 있다 ,1,1,0,0
참고 참았다가 확 터뜨리는 편이다 ,1,1,0,0
파격적인 것을 그닥 선호하지 않는다 ,1,1,0,0
아는 범위 내에선 눈치가 몹시 빠르지만 나서는 것을 싫어하여 일부러 모르는 척을 하는 경우가 많다 ,1,1,0,0
한번 마음을 연 상대에겐 정이 많고 따뜻하고 헌신적으로 대하지만 상대방이 이것을 이용하거나 당연하게 여긴다면 차갑고 냉정하게 바뀐다 ,1,1,0,0
부적절한 단어 사용 한 번으로 그 사람에 대한 평가가 바닥까지 추락할 수 있다 ,1,1,0,0
솔직하지만 조용해서 남이 보기엔 속을 잘 알 수가 없다 ,1,1,0,0
기본적으로 정이 많지만 남용하지는 않는다 ,1,1,0,0
정해진 틀을 깨기를 망설인다 ,1,1,0,0
신세지는 것을 어려워한다 ,1,1,0,0
본인이 좋아하는 사람에겐 많은 표현을 하려고 노력하지만 평소 조용하며 항시 침묵을 지키는 ISFJ 특성상 본인도 모르는 본인의 한계가 있는듯하다  그래서 ISFJ가 이게 나의 최선이라며 하는 표현과 행동들을 다른 사람이 느끼지 못하는 경우가 종종 있다 ,1,1,0,0
자주 감정에 지배 당하곤 하는데 느끼는 전부를 드러내지 않아 겉으로 보기에는 차분하고 감정 조절에 능숙해 보인다 ,1,1,0,0
돕는 것을 좋아한다 ,1,1,0,0
쾌락주의와 먼 성격 중 하나이다 ,1,1,0,0
타인과 교류시 본인만의 기준선이 존재한다  타인이 모종의 행동으로 이 선을 넘으면 무시와 냉소 등의 천대를 받으며 완벽하게 눈 밖에 난 사람(아웃 오브 안중)이 되어버린다  하지만 ISFJ 성격상 겉으로 표현하지 않아 당사자는 알기 어렵다 ,1,1,0,0
권위를 존중하고 윗사람에게 예의 바르지만 상대방이 공익을 저해하거나 너무나 권위적인 태도를 보일 경우 반항적인 모습을 보이기도 한다 ,1,1,0,0
용의주도한 전략가 과학자형 건축가형 대부분의 사항에 마땅한 근거를 논해야 하는 합리적 성향이 강하다  그만큼 논리적 엄밀함을 중시하기 때문에 감성적인 논쟁 상황을 꺼림직해하며 객관성을 우선시한다  이러한 성향은 토론 상황이 아닌 일반적인 일상 상황에서도 유효하기 때문에 인간관계에서 냉소적으로 비춰지기도 한다  그럼에도 반대 의견에 관대하다고 알려져 있다  하지만 그만큼의 기발함과 합리성을 못 얻어내면  그 상대(opponent)를 오랫동안 경멸할 수 있다  직관으로 과감하게 상황을 끌고 나가기 때문에  구상과 회의에서 놀라운 제안을 펼치는 강점이 있다  이들의 정보 처리 방식은 ‘나무보다 숲’  ‘가지보다 뿌리’에 비유할 수 있다  목차와 분류(포함 관계)가 정리되지 않은 상황을 언짢아 하기 때문에 이를 체계적으로 구축하려 한다  다만  구축 과정에서 초기 목적의식을 잃고 일탈하는 상황에 자주 처하기도 한다   또 이들의 ‘완벽주의’ 성향과는 어울리지 않아보이는 ‘저조한 실천력’이 의외의 단점으로 꼽히기도 한다 ,1,0,1,0
논리적이고 객관적이다 ,1,0,1,0
감성이나 감정에 치우친 사고를 멀리 한다 ,1,0,1,0
이상적일 만큼 이론적이다 ,1,0,1,0
합리적이며 공정성을 중시한다 ,1,0,1,0
지식 축적 사고형보단  기존에 알고 있던 것들을 다각도로 합성시키는 사고형이다 ,1,0,1,0
발상이 완전히 독창적이기보단 ‘적합했던 경험들’을 재조합하여 만든 ‘우아한 솔루션’에 가깝다 ,1,0,1,0
마치 새로운 발상처럼 보이기도 하지만  경험적 사고를 은연중에 조합한 것이기 때문에 실제 현장에서도 이들의 직감에 대한 정확도가 다소 높은 편에 속한다  적중 사례를 자주 접하다 보니 자기 확신이 강해지는 계기가 되기도 한다 ,1,0,1,0
반면에  오히려 완전 신유형이나 경험하지 못했던 발상에 대해서는 굉장히 취약한 편이다 ,1,0,1,0
효율을 위하여 기초를 닦는 것이  막연히 시작하는 것보다 나은 가치로 여긴다 ,1,0,1,0
일관성 있게 정돈된 체계를 중시한다 ,1,0,1,0
상하 관계 없이 마구잡이로 나열된 것들의 포함 관계를 살피고  자신만의 목차를 만들어 정리하려고 한다 ,1,0,1,0
예외 상황이 많은 체계를 싫어한다  ,1,0,1,0
정리되지 않은 여러 가지 얕은 잡상식보다  하나 하나를 체계적이고 엄밀히 이해하려고 한다 ,1,0,1,0
흔히 ‘나무들보다 숲을 보며 사고하는 관점’으로 비유될 수 있다 ,1,0,1,0
세부 사항(지엽적인 것)을 무시하고  큰 목차나 큰 틀부터 이해한 뒤 되돌아와서 처리하려고 한다 ,1,0,1,0
세부 항목들간의 공통점을 찾아 묶어서  큰 항목으로 거슬러 올라간다  가끔은 못 말릴 정도로 거슬러 올라가는 탓에 초기 목적을 잃기도 한다  ,1,0,1,0
과거  현재  미래에 대한 자기 판단이  미래지향적(특히 미래낙관적)으로 다소 편중되어 있다 ,1,0,1,0
학문 분야에서 환원주의적 관점을 가지게 될 수 있다  예  자연과학(물리학)  수학  논리학  철학을 우선하는 성향  ,1,0,1,0
예술 분야에서 정통성  극사실주의적인 성향을 가지게 될 수 있다  ,1,0,1,0
객관적인 정보인지 아닌지 여부를 대개 언어를 갖고 판단하는 경향이 있다 ,1,0,1,0
관심을 끌기 위한 목적으로 자극적으로 쓴 제목에 현혹되지 않는다 ,1,0,1,0
꿀팁  역대급 드립(비표준어)을 일컫는 정보에 대한 신뢰도는 크게 하락한다 ,1,0,1,0
사회 현실 감각에 무디다 ,1,0,1,0
(쉽고 빠른 길이라는 걸 알면서도) 편법을 저평가하고 정통성을 굳게 지향한다 ,1,0,1,0
필요 이상으로 어려운 사고 활동을 즐긴다  ,1,0,1,0
(고등 사고가 요구되는 상황이 아닌) 일상적 상황에서 실수를 자주 범한다  예  어설픈 집안일  계산 실수  지도를 잘못 봄  우둔한 노동 감각  소지품 분실,1,0,1,0
의외로 단순한 상황에서조차 시간을 잡아먹는 조짐이 팽배하다 ,1,0,1,0
사소한 실수를 공개적으로 지적당하면 쓸데없이 큰 상처(자신의 대한 실망)를 받는다고 한다 ,1,0,1,0
사회적인 인간 관계(연애 포함)마저 복잡한 사고 방식을 적용하곤 한다 ,1,0,1,0
자기 능력에 대한 자신감이 매우 높다 ,1,0,1,0
모험에 과감하다  가끔 무모한 도전을 아무 고민 없이 그대로 밀고 나가는 경향도 있다 ,1,0,1,0
자기가 선택한 분야나 과목에 대한 섭렵을 확신한다 ,1,0,1,0
가끔 자기가 모든 문제를 해결했다고 믿는다 ,1,0,1,0
완벽주의 성향이 강하다 ,1,0,1,0
적당히 넘어가야 신속하게 해결된다는 걸 알면서도 그것을 놓기 싫어한다  (결국은 놓지 않는 방향으로 나아갈 확률이 높음 ),1,0,1,0
멀리 보면 유익하나 당장 필요하지는 않은 (소위 말하는) ‘예쁜 쓰레기’를 모아 바로 앞에 닥친 일을 곧잘 망칠 수도 있다   지나치게 깊어지면 정리벽(-癖)  수집벽  호더(hoarder) 증후군 성향이 있을 수 있다 ,1,0,1,0
무엇이든 고효율적인 상태를 만든 뒤에야 비로소 ‘시작’을 한다 ,1,0,1,0
계획 또는 도움닫기 단계에서 긴 시간을 투자한다  만일 도움닫기 단계를 끝내고 실천만 해낸다면 폭발적인 효율을 방출해내는 유형이다 ,1,0,1,0
비유  물이 가득 찬 ‘돌 항아리’보다  물이 적게 든 ‘강철 항아리’를 추구한다 ,1,0,1,0
계획형보다는 즉흥형이다 ,1,0,1,0
틀에 박힌 일과를 수행하는 것에 지루함을 느끼기 때문에  실천력은 생각보다 크게 떨어지는 편이다 ,1,0,1,0
‘엄청난 계획’을 만들어 놓더라도 정작 본인이 써먹지를 않는다 ,1,0,1,0
다급해질 때까지 일을 미루게 되는 상황을 자주 접한다 ,1,0,1,0
학업·지능 우수형이며  학업 방식이 여타 유형들과 크게 차이날 만큼 특이한 양상을 띄는 것으로 알려져 있다 ,1,0,1,0
새로운 학문을 시도할 때면  일반인 대상의 ‘교양 서적’보다 ‘전공 서적(textbook)’을 선호한다 ,1,0,1,0
‘지식적 심화 학습’보다 ‘기초 회귀형 학습’을 취하는 편이다 ,1,0,1,0
단순 나열식·휘발성 지식보다 ‘수학 능력’[11]과 ‘체화형 학습 능력’[12]을 고수하는 편이다 ,1,0,1,0
MBTI 유형 중 대학수학능력시험 성적 평균이 가장 높다 [13],1,0,1,0
기타 평균 학업 성적과 GPA(학점/내신)도 16유형 중 1위이며 평균 IQ(지능 지수)도 INTP와 더불어 1위에 해당한다 [14] INTJ가 기반을 두고 있는 열망은 '단순 지식 수준'보다 '수학 능력 수준'에 가깝다  사실 이것을 뽐내는 데 '학교'나 '학회' 같은 공동체밖에 없기도 하다  경쟁을 좋아하는 편이기 때문에 혼자 공부할수록 효율이 떨어진다는 연구도 있다 ,1,0,1,0
‘과제 수행형’보다 ‘아이디어 제시형’이다 ,1,0,1,0
남이 정해준 방식보다 자신만의 자유로운 방식을 지향한다 ,1,0,1,0
계획과 구상 단계에서 기발하고 효율적인 발상을 발휘한다 ,1,0,1,0
과제를 수행하더라도 자기 아이디어를 발휘할 수 있어야 진척도가 쌓이며  그렇지 못한 과제에 대해서는 진척도가 낮다 ,1,0,1,0
비상 계획을 생각해둔다 ,1,0,1,0
겉으로 모범적으로 보인다 ,1,0,1,0
비평이 늘 비관적이다 ,1,0,1,0
"만능 재주꾼  즉 백과사전형  조용하고 과묵하고 절제된 호기심으로 인생을 관찰하며 상황을 파악하는 민감성과 도구를 다루는 뛰어난 능력이 있다  말이 없으며  객관적으로 인생을 관찰하는 형이다  필요 이상으로 자신을 발휘하지 않으며  일과 관계되지 않는 이상 어떤 상황이나 인간관계에 직접 뛰어들지 않는다  가능한 에너지 소비를 하지 않으려 하며  사람에 따라 사실적 자료를 정리  조직하길 좋아하며 기계를 만지거나 인과관계나 객관적 원리에 관심이 많다  민첩하게 상황을 파악하는 능력이 있다  느낌이나 감정  타인에 대한 마음을 표현하기 어려워한다 
",1,1,1,1
어떤 일이든 노력에 비해 효율이 높다 ,1,1,1,1
시험에 벼락치기로 일관하는 경향이 있다   ,1,1,1,1
직장에서 별일 없으면 신경도 안쓰기 때문에 부하 입장에서는 최고의 상사이다   ,1,1,1,1
간단명료하게 말하는 걸 선호한다   ,1,1,1,1
소비성 경향이 강하다 ,1,1,1,1
종교를 믿지 않는다  다만  종교를 믿더라도 맹목적으로 믿는 게 아닌 그냥 체험하듯이 믿는 경우도 있다고 한다 ,1,1,1,1
틀에 박힌 생활을 싫어한다 ,1,1,1,1
고정관념이나 편견이 없는 편이다   ,1,1,1,1
위계와 권위는 군더더기로 간주하며 맹렬히 반항하는 평등주의자이다 ,1,1,1,1
현실감각이 뛰어나며 임기응변에 능하다 ,1,1,1,1
객관적 원리에 관심이 많으며 추상적인 이론이나 개념에 관심이 없다 ,1,1,1,1
정밀을 요하는 일을 잘 해낸다 ,1,1,1,1
도구를 다루는데 관심이 있다 ,1,1,1,1
모험과 스릴을 즐긴다 ,1,1,1,1
체육 분야에서 뛰어난 두각을 나타내는 사람들도 이 유형에서 많이 나오는데  팀 스포츠보다는 혼자 기술을 연마하는 개인 종목 스포츠를 더 선호한다 ,1,1,1,1
관심분야가 아니면 죽을 때까지 쳐다보지도 않는다   ,1,1,1,1
계획 짤 때 세세하게 잡지 않고 큰 틀만 짜는 편이다   ,1,1,1,1
충동에 따라 행동하기 때문에 언제라도 일자리를 박차고 떠날 수 있다 ,1,1,1,1
게으를 때는 끝 없이 게으르나 한 번 시작한 일은 끝까지 해낸다 ,1,1,1,1
자신의 일에 고집이 있고 주장이 강하다   ,1,1,1,1
대인관계가 원만하지만 공사의 구별이 뚜렷하다 ,1,1,1,1
ISTP 유형과 관계가 원만하다면 ISTP 유형이 속은 몰라도 겉으론 당신에게 맞춰주거나 배려해주고 있을 가능성이 크다 ,1,1,1,1
인간관계에서도 노력절약을 하기 때문에 필요한 상황이 아니면 먼저 연락을 하지 않고  깊은 관계일지라도 자주 연락을 하지 않는 편이다 ,1,1,1,1
관심 없는 사람을 만나거나 일을 하는 것을 꺼리며  그것을 강요하는 사람을 매우 싫어한다 ,1,1,1,1
평소에 자기 사람들 빼고는 남에게 관심이 없다   ,1,1,1,1
문제나 상황에 있어서는 바로 입장을 표출하지 않고 지켜본다거나  나서지 않고 관찰하는 것을 좋아한다 ,1,1,1,1
주변에서 일어나는 일에 대해 명확히 알고 있지만 나서서 솔루션을 제시하는 편은 아니다 ,1,1,1,1
개인주의적 성향이 강하고 혼자 있는 시간을 중요히 여긴다 ,1,1,1,1
자의적 혼밥과 독고다이의 달인이다 ,1,1,1,1
일반적으로 조용한 편이나 가끔은 외향적으로 보일 만큼 필요에 따라 사교적이다 ,1,1,1,1
말주변이 별로 없고 어떤 일을 겪어도 표정으로 내색을 않는다 ,1,1,1,1
무표정이 무서워 보인다는 소리를 많이 듣는다 ,1,1,1,1
첫인상이 차갑고 다가가기 어렵다  그래서 융통성 없고 답답하다는 얘기를 주로 받는다 ,1,1,1,1
상대의 감정이나 생각은 잘 읽지만 눈치를 보며 행동하지는 않는다 ,1,1,1,1
생각은 적극적인데 행동은 소극적이다 ,1,1,1,1
생각이 많지만 이것이 감정적으로 크게 연결되지 않는다 ,1,1,1,1
마음에 없는 소리를 잘 못한다   ,1,1,1,1
띄워준다고 크게 뜨지도 않고 욕 먹는다고 크게 가라앉지도 않는다 ,1,1,1,1
정의감이 있으나 직설적인 말로 타인의 감정을 상하게 할 수 있다 ,1,1,1,1
타인의 일이나 TMI에 매우 무관심한 편이다 ,1,1,1,1
